cast,cast_id,cast_url,certificate,director,director_id,director_url,genre,gross,metascore,movie_id,movie_name,movie_url,plot,poster,rating,runtime,votes,year
"Cynthia Erivo,Leslie Odom Jr.,Joe Alwyn,Clarke Peters","nm7248827,nm1502434,nm7153679,nm0676370","https://www.imdb.com/name/nm7248827,https://www.imdb.com/name/nm1502434,https://www.imdb.com/name/nm7153679,https://www.imdb.com/name/nm0676370",PG-13,Kasi Lemmons,nm0501435,https://www.imdb.com/name/nm0501435,"Action,Biography,Drama",,66        ,tt4648786,Harriet,https://www.imdb.com/title/tt4648786,The extraordinary tale of,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,6.4,125 min,14055,2019
"Billy Barratt,Ronak Singh Chadha Berges,Viveik Kalra,Lee Barnett","nm7811397,nm9161436,nm9196203,nm10299359","https://www.imdb.com/name/nm7811397,https://www.imdb.com/name/nm9161436,https://www.imdb.com/name/nm9196203,https://www.imdb.com/name/nm10299359",PG-13,Gurinder Chadha,nm0149446,https://www.imdb.com/name/nm0149446,"Comedy,Drama,Music",$11.90M,71        ,tt8266310,Blinded by the Light,https://www.imdb.com/title/tt8266310,"In England in 1987, a teenager from an Asian family learns to live his life, understand his family and find his own voice through the music of American rock star",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,6.9,118 min,16299,2019
"Mbulelo Grootboom,Sizo Mahlangu,Michael Kenneth Williams,Masasa Mbangeni","nm2845104,nm8745615,nm0931324,nm3181726","https://www.imdb.com/name/nm2845104,https://www.imdb.com/name/nm8745615,https://www.imdb.com/name/nm0931324,https://www.imdb.com/name/nm3181726",TV-MA,Gideon Raff,nm1356268,https://www.imdb.com/name/nm1356268,"Drama,History,Thriller",,,tt4995776,The Red Sea Diving Resort,https://www.imdb.com/title/tt4995776,Israel's Mossad agents attempt to rescue Ethiopian Jewish refugees in Sudan in 1979.,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,6.5,129 min,20126,2019
"Alexandra Daddario,Keean Johnson,Maddie Hasson,Amy Forsyth","nm1275259,nm5277107,nm4487976,nm5046593","https://www.imdb.com/name/nm1275259,https://www.imdb.com/name/nm5277107,https://www.imdb.com/name/nm4487976,https://www.imdb.com/name/nm5046593",R,Marc Meyers,nm1836315,https://www.imdb.com/name/nm1836315,"Horror,Music,Thriller",,55        ,tt8058874,We Summon the Darkness,https://www.imdb.com/title/tt8058874,"Three best friends embark on a road trip to a heavy-metal show, where they bond with three aspiring musicians and head off to one of the girls' country home for an after-party.",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,5.1,91 min,2116,2019
"Colin Farrell,Michael Keaton,Danny DeVito,Eva Green","nm0268199,nm0000474,nm0000362,nm1200692","https://www.imdb.com/name/nm0268199,https://www.imdb.com/name/nm0000474,https://www.imdb.com/name/nm0000362,https://www.imdb.com/name/nm1200692",PG,Tim Burton,nm0000318,https://www.imdb.com/name/nm0000318,"Adventure,Family,Fantasy",$114.77M,51        ,tt3861390,Dumbo,https://www.imdb.com/title/tt3861390,"A young elephant, whose oversized ears enable him to fly, helps save a struggling circus, but when the circus plans a new venture, Dumbo and his friends discover dark secrets beneath its shiny veneer.",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,6.3,112 min,60420,2019
"Matthew McConaughey,Snoop Dogg,Isla Fisher,Stefania LaVie Owen","nm0000190,nm0004879,nm0279545,nm2901344","https://www.imdb.com/name/nm0000190,https://www.imdb.com/name/nm0004879,https://www.imdb.com/name/nm0279545,https://www.imdb.com/name/nm2901344",R,Harmony Korine,nm0005101,https://www.imdb.com/name/nm0005101,Comedy,$3.49M,55        ,tt6511932,The Beach Bum,https://www.imdb.com/title/tt6511932,A rebellious stoner named Moondog lives life by his own rules.,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,5.5,95 min,16067,2019
"Connie Nielsen,Hermione Corfield,Dougray Scott,Olwen Fouere","nm0001567,nm5795508,nm0779084,nm0288260","https://www.imdb.com/name/nm0001567,https://www.imdb.com/name/nm5795508,https://www.imdb.com/name/nm0779084,https://www.imdb.com/name/nm0288260",,Neasa Hardiman,nm1450065,https://www.imdb.com/name/nm1450065,"Horror,Sci-Fi",,60        ,tt2716382,Sea Fever,https://www.imdb.com/title/tt2716382,"The crew of a West of Ireland trawler, marooned at sea, struggle for their lives against a growing parasite in their water supply.",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,5.7,95 min,3799,2019
"Jason Sudeikis,Josh Gad,Leslie Jones,Bill Hader","nm0837177,nm1265802,nm0428656,nm0352778","https://www.imdb.com/name/nm0837177,https://www.imdb.com/name/nm1265802,https://www.imdb.com/name/nm0428656,https://www.imdb.com/name/nm0352778",PG,"John Rice,Thurop Van Orman","nm0723470,nm3006131","https://www.imdb.com/name/nm0723470,https://www.imdb.com/name/nm3006131","Animation,Adventure,Comedy",$38.44M,60        ,tt6095472,The Angry Birds Movie 2,https://www.imdb.com/title/tt6095472,The flightless birds and scheming green pigs take their feud to the next level.,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,6.4,97 min,17666,2019
"Madison Ingoldsby,Emma Thompson,Boris Isakovic,Lucy Miller","nm10916154,nm0000668,nm0410667,nm8838405","https://www.imdb.com/name/nm10916154,https://www.imdb.com/name/nm0000668,https://www.imdb.com/name/nm0410667,https://www.imdb.com/name/nm8838405",PG-13,Paul Feig,nm0082450,https://www.imdb.com/name/nm0082450,"Comedy,Drama,Romance",,50        ,tt8623904,Last Christmas,https://www.imdb.com/title/tt8623904,"Kate is a young woman subscribed to bad decisions. Working as an elf in a year round Christmas store is not good for the wannabe singer. However, she meets Tom there. Her life takes a new turn. For Kate, it seems too good to be true.",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,6.5,103 min,34330,2019
"Trine Dyrholm,Gustav Lindh,Magnus Krepper,Liv Esmar Dannemann","nm0245988,nm6625833,nm0470886,nm9907646","https://www.imdb.com/name/nm0245988,https://www.imdb.com/name/nm6625833,https://www.imdb.com/name/nm0470886,https://www.imdb.com/name/nm9907646",,May el-Toukhy,nm1392439,https://www.imdb.com/name/nm1392439,Drama,,67        ,tt8378126,Queen of Hearts,https://www.imdb.com/title/tt8378126,A successful lawyer jeopardizes her career and threatens to tear her family apart after engaging in an affair with her teenage stepson.,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,7.2,127 min,5701,2019
